Target Word,Most Similar Words
room,"den(0.80), adjac(0.78), formal(0.72), loft(0.72), downstair(0.71)"
kitchen,"countertop(0.68), seamlessli(0.68), sleek(0.68), formal(0.68), gourmet(0.66)"
bathroom,"bath(0.91), downstair(0.76), secondari(0.73), upstair(0.71), three(0.71)"
garden,"pool(0.78), backyard(0.77), swim(0.77), pergola(0.75), sunb(0.75)"
price,"may(0.85), repres(0.84), subject(0.82), eur(0.81), list(0.81)"
