Target Word,Most Similar Words
room,"rm(0.84), den(0.79), kitchenett(0.77), roomi(0.77), bunk(0.76)"
kitchen,"compliment(0.77), sofa(0.75), centerpiec(0.74), worktop(0.74), sunlit(0.73)"
bathroom,"ba(0.84), dress(0.81), combo(0.80), jack(0.80), bath(0.80)"
garden,"pergola(0.71), barbecu(0.70), grassi(0.70), afternoon(0.68), camellia(0.68)"
price,"usd(0.71), indic(0.71), regardless(0.69), competit(0.69), repres(0.69)"
