Target Word,Most Similar Words
room,"den(0.81), adjac(0.80), loft(0.74), formal(0.74), downstair(0.73)"
kitchen,"countertop(0.69), gourmet(0.69), formal(0.69), sleek(0.68), seamlessli(0.68)"
bathroom,"bath(0.91), downstair(0.76), secondari(0.74), upstair(0.73), three(0.73)"
garden,"backyard(0.78), pergola(0.77), swim(0.77), pool(0.76), barbecu(0.75)"
price,"may(0.85), repres(0.85), subject(0.83), interest(0.83), list(0.82)"
