Target Word,Most Similar Words
room,"den(0.77), rm(0.75), adjac(0.75), formal(0.75), loft(0.73)"
kitchen,"sleek(0.70), sunroom(0.69), adjoin(0.69), massiv(0.69), gourmet(0.68)"
bathroom,"bath(0.90), downstair(0.81), combo(0.78), ba(0.76), murphi(0.74)"
garden,"backyard(0.75), gazebo(0.73), pergola(0.73), swim(0.73), barbecu(0.72)"
price,"eur(0.85), repres(0.84), usd(0.84), may(0.82), subject(0.81)"
