Target Word,Most Similar Words
room,"rm(0.83), den(0.78), roomi(0.76), kitchenett(0.75), sunken(0.75)"
kitchen,"compliment(0.75), centerpiec(0.75), granit(0.74), worktop(0.74), sunlit(0.74)"
bathroom,"ba(0.83), dress(0.80), murphi(0.79), jack(0.79), bath(0.79)"
garden,"pergola(0.69), barbecu(0.67), grassi(0.66), ground(0.66), afternoon(0.65)"
price,"usd(0.72), indic(0.70), regardless(0.68), repres(0.68), incent(0.67)"
